Champion,Tier,Win Rate,Pick Rate,Ban Rate,Weak Against
Malphite,0,52.53%,12.43%,30.72%,Maokai; Zac; Tahm Kench
Kled,1,52.07%,3.11%,1.63%,Vayne; Singed; Akshan
Shen,1,51.63%,4.74%,0.74%,Akshan; Quinn; Cassiopeia
Mordekaiser,1,51.04%,6.44%,7.84%,Vayne; Singed; Cassiopeia
Sion,1,50.82%,8.72%,3.63%,Gwen; Shen; Singed
Darius,1,50.39%,7.17%,19.18%,Cassiopeia; Wukong; Sejuani
Jax,1,50.21%,7.89%,13.91%,Singed; Quinn; Maokai
Singed,2,52.23%,1.86%,0.26%,Akshan; Cassiopeia; Udyr
Maokai,2,52.09%,1.73%,0.40%,Warwick; Dr. Mundo; Akshan
Pantheon,2,51.34%,3.77%,1.77%,Malphite; Sion; Tahm Kench
Kayle,2,51.29%,2.51%,0.48%,Sejuani; Irelia; Akshan
Dr. Mundo,2,51.21%,3.11%,1.57%,Akshan; Gwen; Zac
Olaf,2,51.11%,3.66%,5.85%,Kled; Rengar; Tryndamere
Riven,2,50.95%,4.99%,1.62%,Malphite; Udyr; Kennen
Ornn,2,50.81%,3.79%,0.39%,Cassiopeia; Singed; Fiora
Cho'Gath,2,50.75%,4.32%,1.26%,Dr. Mundo; Akshan; Gwen
Camille,2,50.56%,4.67%,2.37%,Teemo; Zac; Maokai
Illaoi,2,50.24%,4.97%,7.86%,Cassiopeia; Akshan; Yorick
Fiora,2,50.22%,6.14%,14.90%,Quinn; Rengar; Akshan
Jayce,2,49.33%,8.02%,5.31%,Malphite; Poppy; Quinn
Cassiopeia,3,52.53%,0.74%,0.73%,Zac; Yasuo; Rumble
Zac,3,52.32%,1.11%,1.18%,Urgot; Kayle; Sejuani
Akshan,3,52.21%,1.18%,1.22%,Zac; Sejuani; Ornn
Quinn,3,52.04%,0.97%,0.30%,Maokai; Sejuani; Akshan
Rengar,3,51.61%,1.33%,1.64%,Tahm Kench; Udyr; Quinn
Vayne,3,51.07%,1.32%,0.84%,Malphite; Akshan; Teemo
Tahm Kench,3,51.01%,1.68%,0.61%,Singed; Shen; Vladimir
Poppy,3,50.95%,1.45%,0.52%,Teemo; Vayne; Zac
Urgot,3,50.65%,2.10%,0.38%,Poppy; Malphite; Dr. Mundo
Teemo,3,50.52%,2.14%,1.43%,Akshan; Jayce; Olaf
Warwick,3,50.51%,1.46%,0.56%,Olaf; Cassiopeia; Vladimir
Gwen,3,50.50%,3.34%,1.32%,Cassiopeia; Akshan; Singed
Vladimir,3,50.44%,1.45%,1.54%,Rengar; Pantheon; Wukong
Nasus,3,50.12%,3.33%,2.15%,Warwick; Shen; Rengar
Kennen,3,49.73%,2.75%,0.97%,Cassiopeia; Zac; Rengar
Sett,3,49.52%,4.67%,1.46%,Kled; Malphite; Warwick
Irelia,3,49.44%,4.20%,8.49%,Malphite; Warwick; Tryndamere
Gragas,3,49.32%,3.96%,2.41%,Rengar; Sion; Urgot
Gangplank,3,49.25%,4.22%,5.74%,Akshan; Rengar; Cho'Gath
Gnar,3,48.96%,3.27%,0.47%,Rengar; Akshan; Malphite
Garen,3,48.82%,3.68%,0.91%,Quinn; Zac; Kayle
Aatrox,3,48.57%,4.55%,3.47%,Vayne; Malphite; Pantheon
Wukong,4,49.76%,0.88%,1.08%,Cassiopeia; Kayle; Malphite
Tryndamere,4,49.37%,1.85%,1.18%,Malphite; Warwick; Teemo
Sylas,4,48.84%,1.56%,1.89%,Kled; Poppy; Vayne
Yorick,4,48.59%,2.93%,2.99%,Irelia; Graves; Gwen
Yasuo,4,48.17%,1.71%,2.40%,Udyr; Riven; Malphite
Rumble,4,48.16%,1.82%,0.98%,Shen; Sejuani; Fiora
Renekton,4,47.92%,3.69%,1.95%,Quinn; Illaoi; Pantheon
Yone,4,47.68%,3.04%,2.21%,Olaf; Warwick; Kled
K'Sante,4,47.38%,5.50%,3.92%,Kayle; Vayne; Udyr
Sejuani,5,49.84%,0.57%,0.15%,Wukong; Poppy; Mordekaiser
Udyr,5,49.49%,0.55%,0.80%,Urgot; Cassiopeia; Sejuani
Volibear,5,48.05%,1.41%,0.18%,Vladimir; Sejuani; Singed
Graves,5,47.68%,0.73%,0.36%,Cassiopeia; Akshan; Wukong
Akali,5,45.63%,1.49%,1.74%,Warwick; Kayle; Urgot
